"","Area code","Township","SevMale","SevFemale","SevTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"336","AREA # 130605","Namsan(North)",25,14,39,8,4,12,32,28.5714285714286,30.7692307692308
"337","AREA # 130606","Momeik",13,7,20,4,3,7,30.7692307692308,42.8571428571429,35
"338","AREA # 130607","Mabane",8,12,20,4,4,8,50,33.3333333333333,40
"339","AREA # 130608","Manton",14,12,26,6,8,14,42.8571428571429,66.6666666666667,53.8461538461538
"340","AREA # 130651","Minengaw(ST)",1,2,3,NA,NA,NA,NA,NA,NA
"341","AREA # 130652","Minelon(ST)",3,9,12,1,1,2,33.3333333333333,11.1111111111111,16.6666666666667
"342","AREA # 130701","Kunlon",16,5,21,5,1,6,31.25,20,28.5714285714286
"343","AREA # 130801","Laukine",15,15,30,3,3,6,20,20,20
"344","AREA # 130802","Kongyan",5,5,10,1,2,3,20,40,30
"345","AREA # 130851","Chinshwehaw(ST)",2,NA,2,1,NA,1,50,NA,50
"346","AREA # 130852","Mawhtike(ST)",3,1,4,1,NA,1,33.3333333333333,NA,25
"347","AREA # 130901","Hopan",9,11,20,2,1,3,22.2222222222222,9.09090909090909,15
"348","AREA # 130902","Minemaw",7,7,14,2,2,4,28.5714285714286,28.5714285714286,28.5714285714286
"349","AREA # 130903","Panwine",146,139,285,19,15,34,13.013698630137,10.7913669064748,11.9298245614035
"350","AREA # 130952","Panlon(ST)",4,2,6,NA,NA,NA,NA,NA,NA
"351","AREA # 131001","Makman",8,5,13,NA,1,1,NA,20,7.69230769230769
"352","AREA # 131002","Pan San(Pan Kham)",25,17,42,1,NA,1,4,NA,2.38095238095238
"353","AREA # 131003","Naphang",15,19,34,NA,2,2,NA,10.5263157894737,5.88235294117647
"354","AREA # 131051","ManKan(ST)",1,NA,1,1,NA,1,100,NA,100
"355","AREA # 131101","Kengtung",45,25,70,8,2,10,17.7777777777778,8,14.2857142857143
"356","AREA # 131102","Minekat",10,4,14,1,NA,1,10,NA,7.14285714285714
"357","AREA # 131103","Mineyan",5,12,17,NA,1,1,NA,8.33333333333333,5.88235294117647
"358","AREA # 131104","Minelar",3,3,6,1,1,2,33.3333333333333,33.3333333333333,33.3333333333333
"359","AREA # 131151","Mine Pauk(ST)",10,9,19,2,1,3,20,11.1111111111111,15.7894736842105
"360","AREA # 131201","Minesat",27,23,50,5,2,7,18.5185185185185,8.69565217391304,14
"361","AREA # 131202","Minepyin",16,15,31,2,NA,2,12.5,NA,6.45161290322581
"362","AREA # 131203","Minetung",5,4,9,NA,NA,NA,NA,NA,NA
"363","AREA # 131251","Minekoke(ST)",1,4,5,NA,NA,NA,NA,NA,NA
"364","AREA # 131252","Tontar(ST)",7,6,13,1,NA,1,14.2857142857143,NA,7.69230769230769
"365","AREA # 131253","Ponparkyin(ST)",31,11,42,5,6,11,16.1290322580645,54.5454545454545,26.1904761904762
"366","AREA # 131254","Monehta(ST)",3,4,7,1,NA,1,33.3333333333333,NA,14.2857142857143
"367","AREA # 131301","Tachileik",18,17,35,3,1,4,16.6666666666667,5.88235294117647,11.4285714285714
"368","AREA # 131351","Talay(ST)",1,4,5,1,1,2,100,25,40
"369","AREA # 131352","Kenglat(ST)",1,4,5,NA,NA,NA,NA,NA,NA
"370","AREA # 131401","Minephyat",10,7,17,1,NA,1,10,NA,5.88235294117647
"371","AREA # 131402","Mineyaung",5,5,10,2,1,3,40,20,30
"372","AREA # 131451","Mineyu(ST)",20,17,37,4,3,7,20,17.6470588235294,18.9189189189189
"373","AREA # 140101","Kangyidaunt",58,49,107,15,15,30,25.8620689655172,30.6122448979592,28.0373831775701
"374","AREA # 140102","Kyaungon",53,44,97,23,13,36,43.3962264150943,29.5454545454545,37.1134020618557
"375","AREA # 140103","Kyonpyaw",112,75,187,42,35,77,37.5,46.6666666666667,41.1764705882353
"376","AREA # 140104","Ngaputaw",62,60,122,20,18,38,32.258064516129,30,31.1475409836066
"377","AREA # 140105","Pathein",102,75,177,29,24,53,28.4313725490196,32,29.9435028248588
"378","AREA # 140106","Yekyi",37,34,71,17,7,24,45.9459459459459,20.5882352941176,33.8028169014084
"379","AREA # 140107","Thapaung",66,51,117,24,20,44,36.3636363636364,39.2156862745098,37.6068376068376
"380","AREA # 140151","Ngayokaung(ST)",6,8,14,NA,3,3,NA,37.5,21.4285714285714
"381","AREA # 140152","Hainggyikyun(ST)",50,31,81,20,12,32,40,38.7096774193548,39.5061728395062
"382","AREA # 140153","Shwethaungyan(ST)",17,12,29,8,2,10,47.0588235294118,16.6666666666667,34.4827586206897
"383","AREA # 140154","Ngwehsaung(ST)",13,14,27,4,1,5,30.7692307692308,7.14285714285714,18.5185185185185
"384","AREA # 140155","Ngathaingchaung(ST)",27,27,54,13,8,21,48.1481481481481,29.6296296296296,38.8888888888889
"385","AREA # 140201","Kyaiklatt",68,54,122,31,18,49,45.5882352941176,33.3333333333333,40.1639344262295
"386","AREA # 140202","Daydaye",75,66,141,22,22,44,29.3333333333333,33.3333333333333,31.2056737588652
"387","AREA # 140203","Phyapon",71,44,115,33,24,57,46.4788732394366,54.5454545454545,49.5652173913044
"388","AREA # 140204","Bogale",185,150,335,87,58,145,47.027027027027,38.6666666666667,43.2835820895522
"389","AREA # 140251","Ahmar(ST)",86,63,149,44,22,66,51.1627906976744,34.9206349206349,44.2953020134228
"390","AREA # 140301","Nyaungdon",89,56,145,30,20,50,33.7078651685393,35.7142857142857,34.4827586206897
"391","AREA # 140302","Danubyu",60,55,115,20,19,39,33.3333333333333,34.5454545454545,33.9130434782609
"392","AREA # 140303","Pantanaw",100,85,185,41,34,75,41,40,40.5405405405405
"393","AREA # 140304","Maubin",73,89,162,20,22,42,27.3972602739726,24.7191011235955,25.9259259259259
"394","AREA # 140401","Myaungmya",116,81,197,43,28,71,37.0689655172414,34.5679012345679,36.0406091370558
"395","AREA # 140402","Wakema",107,91,198,36,34,70,33.6448598130841,37.3626373626374,35.3535353535354
"396","AREA # 140403","Einme",73,54,127,16,10,26,21.9178082191781,18.5185185185185,20.4724409448819
"397","AREA # 140501","Mawlamyinegyun",216,180,396,105,71,176,48.6111111111111,39.4444444444444,44.4444444444444
"398","AREA # 140502","Labutta",75,87,162,26,31,57,34.6666666666667,35.632183908046,35.1851851851852
"399","AREA # 140551","Pyinsalu(ST)",28,27,55,13,13,26,46.4285714285714,48.1481481481481,47.2727272727273
"400","AREA # 140601","Kyangin",21,17,38,7,5,12,33.3333333333333,29.4117647058824,31.5789473684211
"401","AREA # 140602","Zalun",62,47,109,20,23,43,32.258064516129,48.936170212766,39.4495412844037
"402","AREA # 140603","Myanaung",66,60,126,28,23,51,42.4242424242424,38.3333333333333,40.4761904761905
"403","AREA # 140604","Laymyethna",24,30,54,7,5,12,29.1666666666667,16.6666666666667,22.2222222222222
