"","SR","District","AreaCode","TsName_Census","TsCode_MIMU","TsName_MIMU","Township","Male","Female","Total"
"121","Tanintharyi","Myeik","AREA # 060203","Palaw","MMR006007","Palaw","Palaw",1027,1097,2124
"122","Tanintharyi","Myeik","AREA # 060204","Tanintharyi","MMR006008","Tanintharyi","Tanintharyi",1217,1141,2358
"123","Tanintharyi","Kawthoung","AREA # 060301","Kawthoung","MMR006009","Kawthoung","Kawthoung",437,477,914
"124","Tanintharyi","Kawthoung","AREA # 060351","Khamaukgyi","MMR006009","Kawthoung","Khamaukgyi",104,63,167
"125","Tanintharyi","Kawthoung","AREA # 060302","Bokepyin","MMR006010","Bokpyin","Bokepyin",283,249,532
"126","Tanintharyi","Kawthoung","AREA # 060353","Karathuri(ST)","MMR006010","Bokpyin","Karathuri(ST)",62,76,138
"127","Tanintharyi","Kawthoung","AREA # 060352","Pyigyimandaing","MMR006010","Bokpyin","Pyigyimandaing",130,143,273
"128","Bago","Bago","AREA # 070101","Bago","MMR007001","Bago","Bago",1722,1863,3585
"129","Bago","Bago","AREA # 070102","Tanatpin","MMR007002","Thanatpin","Tanatpin",526,507,1033
"130","Bago","Bago","AREA # 070103","Kawa","MMR007003","Kawa","Kawa",799,862,1661
"131","Bago","Bago","AREA # 070104","Waw","MMR007004","Waw","Waw",851,757,1608
"132","Bago","Bago","AREA # 070105","Nyaunglebin","MMR007005","Nyaunglebin","Nyaunglebin",803,959,1762
"133","Bago","Bago","AREA # 070106","Kyauktaga","MMR007006","Kyauktaga","Kyauktaga",924,963,1887
"134","Bago","Bago","AREA # 070107","Daik U","MMR007007","Daik-U","Daik U",613,675,1288
"135","Bago","Bago","AREA # 070108","Shwegyin","MMR007008","Shwegyin","Shwegyin",685,698,1383
"136","Bago","Toungoo","AREA # 070201","Toungoo","MMR007009","Taungoo","Toungoo",1184,1242,2426
"137","Bago","Toungoo","AREA # 070202","Yaedashe","MMR007010","Yedashe","Yaedashe",1001,977,1978
"138","Bago","Toungoo","AREA # 070203","Kyaukkyi","MMR007011","Kyaukkyi","Kyaukkyi",742,755,1497
"139","Bago","Toungoo","AREA # 070204","Pyu","MMR007012","Phyu","Pyu",1383,1551,2934
"140","Bago","Toungoo","AREA # 070205","Oatwin","MMR007013","Oktwin","Oatwin",925,1109,2034
"141","Bago","Toungoo","AREA # 070206","Htantapin","MMR007014","Htantabin","Htantapin",573,638,1211
"142","Bago","Pyay","AREA # 070301","Pyay","MMR008001","Pyay","Pyay",994,1052,2046
"143","Bago","Pyay","AREA # 070302","Paukkhaung","MMR008002","Paukkhaung","Paukkhaung",658,711,1369
"144","Bago","Pyay","AREA # 070303","Padaung","MMR008003","Padaung","Padaung",806,897,1703
"145","Bago","Pyay","AREA # 070304","Paunde","MMR008004","Paungde","Paunde",789,965,1754
"146","Bago","Pyay","AREA # 070305","Thegon","MMR008005","Thegon","Thegon",689,910,1599
"147","Bago","Pyay","AREA # 070306","Shwedaung","MMR008006","Shwedaung","Shwedaung",664,735,1399
"148","Bago","Tharyarwaddy","AREA # 070401","Tharyarwaddy","MMR008007","Thayarwady","Tharyarwaddy",916,1013,1929
"149","Bago","Tharyarwaddy","AREA # 070402","Letpadan","MMR008008","Letpadan","Letpadan",862,983,1845
"150","Bago","Tharyarwaddy","AREA # 070403","Minhla","MMR008009","Minhla","Minhla",616,680,1296
"151","Bago","Tharyarwaddy","AREA # 070404","Okpo","MMR008010","Okpho","Okpo",643,663,1306
"152","Bago","Tharyarwaddy","AREA # 070405","Zigon","MMR008011","Zigon","Zigon",328,395,723
"153","Bago","Tharyarwaddy","AREA # 070406","Nattalin","MMR008012","Nattalin","Nattalin",804,884,1688
"154","Bago","Tharyarwaddy","AREA # 070407","Monyo","MMR008013","Monyo","Monyo",520,640,1160
"155","Bago","Tharyarwaddy","AREA # 070408","Gyobingauk","MMR008014","Gyobingauk","Gyobingauk",648,787,1435
"156","Magway","Magway","AREA # 080101","Magway","MMR009001","Magway","Magway",1150,1346,2496
"157","Magway","Magway","AREA # 080102","Yenangyoung","MMR009002","Yenangyaung","Yenangyoung",687,954,1641
"158","Magway","Magway","AREA # 080103","Chauk","MMR009003","Chauk","Chauk",841,1007,1848
"159","Magway","Magway","AREA # 080104","Taungdwingyi","MMR009004","Taungdwingyi","Taungdwingyi",1371,1623,2994
"160","Magway","Magway","AREA # 080105","Myothit","MMR009005","Myothit","Myothit",820,1106,1926
"161","Magway","Magway","AREA # 080106","Natmauk","MMR009006","Natmauk","Natmauk",966,1211,2177
"162","Magway","Minbu","AREA # 080201","Minbu","MMR009007","Minbu","Minbu",979,1288,2267
"163","Magway","Minbu","AREA # 080202","Pwint Phyu","MMR009008","Pwintbyu","Pwint Phyu",824,1073,1897
"164","Magway","Minbu","AREA # 080203","Ngape","MMR009009","Ngape","Ngape",181,197,378
"165","Magway","Minbu","AREA # 080204","Salin","MMR009010","Salin","Salin",1230,1573,2803
"166","Magway","Minbu","AREA # 080205","Saytottara","MMR009011","Sidoktaya","Saytottara",312,383,695
"167","Magway","Thayet","AREA # 080301","Thayet","MMR009012","Thayet","Thayet",596,710,1306
"168","Magway","Thayet","AREA # 080302","Minhla","MMR009013","Minhla","Minhla",529,692,1221
"169","Magway","Thayet","AREA # 080303","Mindon","MMR009014","Mindon","Mindon",403,480,883
"170","Magway","Thayet","AREA # 080304","Kamma","MMR009015","Kamma","Kamma",732,887,1619
"171","Magway","Thayet","AREA # 080305","Aunglan","MMR009016","Aunglan","Aunglan",1625,1951,3576
"172","Magway","Thayet","AREA # 080306","Sinpaungwe`","MMR009017","Sinbaungwe","Sinpaungwe`",828,1083,1911
"173","Magway","Pakokku","AREA # 080401","Pakokku","MMR009018","Pakokku","Pakokku",1651,2119,3770
"174","Magway","Pakokku","AREA # 080402","Yesagyo","MMR009019","Yesagyo","Yesagyo",1271,1722,2993
"175","Magway","Pakokku","AREA # 080403","Myaing","MMR009020","Myaing","Myaing",1557,2069,3626
"176","Magway","Pakokku","AREA # 080404","Pauk","MMR009021","Pauk","Pauk",1511,1930,3441
"177","Magway","Pakokku","AREA # 080405","Seikphyu","MMR009022","Seikphyu","Seikphyu",589,750,1339
"178","Magway","Gangaw","AREA # 080501","Gangaw","MMR009023","Gangaw","Gangaw",825,900,1725
"179","Magway","Gangaw","AREA # 080502","Htilin","MMR009024","Tilin","Htilin",357,427,784
"180","Magway","Gangaw","AREA # 080503","Saw","MMR009025","Saw","Saw",310,379,689
"181","Magway","Gangaw","AREA # 080551","Kyaukhtu(ST)","MMR009025","Saw","Kyaukhtu(ST)",282,317,599
"182","Mandalay","Mandalay","AREA # 090101","Aungmyetharzan","MMR010001","Aungmyaythazan","Aungmyetharzan",866,941,1807
"183","Mandalay","Mandalay","AREA # 090102","Chanayeharzan","MMR010002","Chanayethazan","Chanayeharzan",490,549,1039
"184","Mandalay","Mandalay","AREA # 090103","Mahaaungmye","MMR010003","Mahaaungmyay","Mahaaungmye",586,616,1202
"185","Mandalay","Mandalay","AREA # 090104","Chanmyatharzi","MMR010004","Chanmyathazi","Chanmyatharzi",780,892,1672
"186","Mandalay","Mandalay","AREA # 090105","Pyigyidagun","MMR010005","Pyigyitagon","Pyigyidagun",538,557,1095
"187","Mandalay","Mandalay","AREA # 090106","Amarapura","MMR010006","Amarapura","Amarapura",704,875,1579
"188","Mandalay","Mandalay","AREA # 090107","Patheingyi","MMR010007","Patheingyi","Patheingyi",859,982,1841
"189","Mandalay","Pyin Oo Lwin","AREA # 090201","Pyin Oo Lwin","MMR010008","Pyinoolwin","Pyin Oo Lwin",750,625,1375
"190","Mandalay","Pyin Oo Lwin","AREA # 090202","Madaya","MMR010009","Madaya","Madaya",916,1106,2022
"191","Mandalay","Pyin Oo Lwin","AREA # 090203","Sinku","MMR010010","Singu","Sinku",776,857,1633
"192","Mandalay","Pyin Oo Lwin","AREA # 090204","Mogok","MMR010011","Mogoke","Mogok",610,553,1163
"193","Mandalay","Pyin Oo Lwin","AREA # 090205","Thabeikkyin","MMR010012","Thabeikkyin","Thabeikkyin",246,276,522
"194","Mandalay","Pyin Oo Lwin","AREA # 090251","Tagaung","MMR010012","Thabeikkyin","Tagaung",94,100,194
"195","Mandalay","Kyaukse","AREA # 090301","Kyaukse","MMR010013","Kyaukse","Kyaukse",685,810,1495
"196","Mandalay","Kyaukse","AREA # 090302","Singaing","MMR010014","Sintgaing","Singaing",391,478,869
"197","Mandalay","Kyaukse","AREA # 090303","Myitthar","MMR010015","Myittha","Myitthar",700,792,1492
"198","Mandalay","Kyaukse","AREA # 090304","Tada U","MMR010016","Tada-U","Tada U",474,643,1117
"199","Mandalay","Myingyan","AREA # 090401","Myingyan","MMR010017","Myingyan","Myingyan",1590,2086,3676
"200","Mandalay","Myingyan","AREA # 090402","Taungtha","MMR010018","Taungtha","Taungtha",1127,1340,2467
"201","Mandalay","Myingyan","AREA # 090403","Natogyi","MMR010019","Natogyi","Natogyi",1026,1343,2369
"202","Mandalay","Nyaung U","AREA # 090404","Kyaukpadaung","MMR010020","Kyaukpadaung","Kyaukpadaung",720,881,1601
"203","Mandalay","Myingyan","AREA # 090405","Ngazun","MMR010021","Ngazun","Ngazun",710,1047,1757
"204","Mandalay","Nyaung U","AREA # 090501","Nyaung U","MMR010022","Nyaung-U","Nyaung U",1023,1344,2367
"205","Mandalay","Nyaung U","AREA # 090551","Ngathayauk","MMR010022","Nyaung-U","Ngat",321,391,712
"206","Mandalay","Yame`thin","AREA # 090601","Yame`thin","MMR010023","Yamethin","Yame`thin",1608,1932,3540
"207","Mandalay","Yame`thin","AREA # 090602","Pyawbwe","MMR010024","Pyawbwe","Pyawbwe",1429,1781,3210
"208","Mandalay","Meiktila","AREA # 090701","Meiktila","MMR010028","Meiktila","Meiktila",1249,1446,2695
"209","Mandalay","Meiktila","AREA # 090702","Mahlaing","MMR010029","Mahlaing","MahlYaing",734,1013,1747
"210","Mandalay","Meiktila","AREA # 090703","Thazi","MMR010030","Thazi","Thazi",825,1008,1833
"211","Mandalay","Meiktila","AREA # 090704","Wundwin","MMR010031","Wundwin","Wundwin",953,1172,2125
"212","Mon","Mawlamyine","AREA # 100101","Mawlamyine","MMR011001","Mawlamyine","Mawlamyine",1160,1324,2484
"213","Mon","Mawlamyine","AREA # 100102","Kyaikemaraw","MMR011002","Kyaikmaraw","Kyaikemaraw",1207,1327,2534
"214","Mon","Mawlamyine","AREA # 100103","Chaungzon","MMR011003","Chaungzon","Chaungzon",765,916,1681
"215","Mon","Mawlamyine","AREA # 100104","Thanbyuzayat","MMR011004","Thanbyuzayat","Thanbyuzayat",1076,1121,2197
"216","Mon","Mawlamyine","AREA # 100105","Mudon","MMR011005","Mudon","Mudon",901,898,1799
"217","Mon","Mawlamyine","AREA # 100106","Ye","MMR011006","Ye","Ye",1134,1219,2353
"218","Mon","Mawlamyine","AREA # 100152","Khawzar","MMR011006","Ye","Khawzar",116,118,234
"219","Mon","Mawlamyine","AREA # 100151","Lamine","MMR011006","Ye","Lamine",707,724,1431
"220","Mon","Thaton","AREA # 100201","Thaton","MMR011007","Thaton","Thaton",1283,1330,2613
"221","Mon","Thaton","AREA # 100202","Paung","MMR011008","Paung","Paung",1265,1211,2476
"222","Mon","Thaton","AREA # 100203","Kyaikto","MMR011009","Kyaikto","Kyaikto",1309,1253,2562
"223","Mon","Thaton","AREA # 100204","Bilin","MMR011010","Bilin","Bilin",1465,1612,3077
"224","Rakhine","Sittway","AREA # 110101","Sittway","MMR012001","Sittwe","Sittway",552,599,1151
"225","Rakhine","Sittway","AREA # 110102","Ponnagyun","MMR012002","Ponnagyun","Ponnagyun",505,566,1071
"226","Rakhine","Myauk U","AREA # 110201","Myauk U","MMR012003","Mrauk-U","Myauk U",1637,2015,3652
"227","Rakhine","Myauk U","AREA # 110202","Kyauktaw","MMR012004","Kyauktaw","Kyauktaw",1229,1431,2660
"228","Rakhine","Myauk U","AREA # 110203","Minbya","MMR012005","Minbya","Minbya",1309,1483,2792
"229","Rakhine","Myauk U","AREA # 110204","Myebon","MMR012006","Myebon","Myebon",1113,1350,2463
"230","Rakhine","Sittway","AREA # 110103","Pauktaw","MMR012007","Pauktaw","Pauktaw",518,549,1067
"231","Rakhine","Sittway","AREA # 110104","Yethedaung","MMR012008","Rathedaung","Yethedaung",1259,1707,2966
"232","Rakhine","Maungtaw","AREA # 110351","Taungpyoletwe(ST)","MMR012009","Maungdaw","Taungpyoletwe(ST)",8,13,21
"233","Rakhine","Maungtaw","AREA # 110301","Maungtaw","MMR012009","Maungdaw","Maungtaw",295,332,627
"234","Rakhine","Maungtaw","AREA # 110302","Buthidaung","MMR012010","Buthidaung","Buthidaung",466,458,924
"235","Rakhine","Kyaukpyu","AREA # 110401","Kyaukpyu","MMR012011","Kyaukpyu","Kyaukpyu",1210,1450,2660
"236","Rakhine","Kyaukpyu","AREA # 110402","Mannaung","MMR012012","Munaung","Mannaung",771,1011,1782
"237","Rakhine","Kyaukpyu","AREA # 110403","Yanbye","MMR012013","Ramree","Yanbye",656,858,1514
"238","Rakhine","Kyaukpyu","AREA # 110404","An","MMR012014","Ann","An",929,1095,2024
"239","Rakhine","Thandwe","AREA # 110501","Thandwe","MMR012015","Thandwe","Thandwe",652,709,1361
"240","Rakhine","Thandwe","AREA # 110551","Maei(ST)","MMR012016","Toungup","Maei(ST)",285,297,582
"241","Rakhine","Thandwe","AREA # 110502","Toungup","MMR012016","Toungup","Toungup",661,675,1336
"242","Rakhine","Thandwe","AREA # 110503","Gwa","MMR012017","Gwa","Gwa",275,272,547
"243","Rakhine","Thandwe","AREA # 110552","Kyeintali(ST)","MMR012017","Gwa","Kyeintali(ST)",227,277,504
"244","Yangon","North Yangon","AREA # 120101","Insein","MMR013001","Insein","Insein",1142,1077,2219
"245","Yangon","North Yangon","AREA # 120102","Mingaladon","MMR013002","Mingaladon","Mingaladon",1434,1301,2735
"246","Yangon","North Yangon","AREA # 120103","Hmawby","MMR013003","Hmawbi","Hmawby",1262,1147,2409
"247","Yangon","North Yangon","AREA # 120104","Hlegu","MMR013004","Hlegu","Hlegu",1274,1176,2450
