"","AreaCode","Township","SvMale","SvFemale","SvTotal","AttSvMale","AttSvFemale","AttSvTotal","pcAttSvMale","pcAttSvFemale","pcAttSvTotal"
"230","AREA # 110203","Minbya",49,30,79,13,9,22,26.530612244898,30,27.8481012658228
"231","AREA # 110204","Myebon",25,37,62,12,13,25,48,35.1351351351351,40.3225806451613
"232","AREA # 110301","Maungtaw",13,5,18,5,2,7,38.4615384615385,40,38.8888888888889
"233","AREA # 110302","Buthidaung",19,12,31,4,2,6,21.0526315789474,16.6666666666667,19.3548387096774
"234","AREA # 110351","Taungpyoletwe(ST)",1,1,2,NA,NA,NA,NA,NA,NA
"235","AREA # 110401","Kyaukpyu",44,27,71,13,9,22,29.5454545454545,33.3333333333333,30.9859154929577
"236","AREA # 110402","Mannaung",14,13,27,4,2,6,28.5714285714286,15.3846153846154,22.2222222222222
"237","AREA # 110403","Yanbye",22,11,33,8,2,10,36.3636363636364,18.1818181818182,30.3030303030303
"238","AREA # 110404","An",29,19,48,7,5,12,24.1379310344828,26.3157894736842,25
"239","AREA # 110501","Thandwe",25,20,45,9,5,14,36,25,31.1111111111111
"240","AREA # 110502","Toungup",28,22,50,11,9,20,39.2857142857143,40.9090909090909,40
"241","AREA # 110503","Gwa",12,6,18,4,2,6,33.3333333333333,33.3333333333333,33.3333333333333
"242","AREA # 110551","Maei(ST)",8,7,15,3,4,7,37.5,57.1428571428571,46.6666666666667
"243","AREA # 110552","Kyeintali(ST)",10,6,16,1,3,4,10,50,25
"244","AREA # 120101","Insein",46,46,92,15,9,24,32.6086956521739,19.5652173913043,26.0869565217391
"245","AREA # 120102","Mingaladon",61,40,101,12,3,15,19.672131147541,7.5,14.8514851485149
"246","AREA # 120103","Hmawby",44,35,79,11,4,15,25,11.4285714285714,18.9873417721519
"247","AREA # 120104","Hlegu",51,52,103,6,13,19,11.7647058823529,25,18.4466019417476
"248","AREA # 120105","Taikkyi",75,58,133,16,12,28,21.3333333333333,20.6896551724138,21.0526315789474
"249","AREA # 120106","Htantabin",49,30,79,13,5,18,26.530612244898,16.6666666666667,22.7848101265823
"250","AREA # 120107","Shwepyitha",48,48,96,11,10,21,22.9166666666667,20.8333333333333,21.875
"251","AREA # 120108","Hlinethaya",132,119,251,29,18,47,21.969696969697,15.1260504201681,18.7250996015936
"252","AREA # 120201","Thingangyun",25,34,59,8,7,15,32,20.5882352941176,25.4237288135593
"253","AREA # 120202","Yankin",11,10,21,2,1,3,18.1818181818182,10,14.2857142857143
"254","AREA # 120203","South Okkalapa",21,29,50,3,5,8,14.2857142857143,17.2413793103448,16
"255","AREA # 120204","North Okkalapa",52,38,90,11,6,17,21.1538461538462,15.7894736842105,18.8888888888889
"256","AREA # 120205","Thakayta",29,19,48,5,5,10,17.2413793103448,26.3157894736842,20.8333333333333
"257","AREA # 120206","Dawbon",10,6,16,3,NA,3,30,NA,18.75
"258","AREA # 120207","Tamway",31,17,48,7,3,10,22.5806451612903,17.6470588235294,20.8333333333333
"259","AREA # 120208","Pazuntaung",3,5,8,NA,1,1,NA,20,12.5
"260","AREA # 120209","Botahtaung",4,1,5,2,NA,2,50,NA,40
"261","AREA # 120210","Dagon Myothit(South)",59,56,115,9,13,22,15.2542372881356,23.2142857142857,19.1304347826087
"262","AREA # 120211","Dagon Myothit(North)",34,33,67,5,3,8,14.7058823529412,9.09090909090909,11.9402985074627
"263","AREA # 120212","Dagon Myothit(East)",40,37,77,9,6,15,22.5,16.2162162162162,19.4805194805195
"264","AREA # 120213","Dagon Myothit(Seik)",29,35,64,6,8,14,20.6896551724138,22.8571428571429,21.875
"265","AREA # 120214","Mingala Taungnyunt",16,16,32,3,5,8,18.75,31.25,25
